iter	Passed	Remaining
0	1	181
1	1	171
2	3	202
3	4	190
4	5	203
5	6	194
6	7	188
7	8	184
8	9	180
9	10	177
10	11	174
11	12	171
12	13	169
13	14	172
14	15	170
15	16	167
16	17	166
17	18	164
18	19	162
19	20	160
20	20	158
21	21	157
22	22	155
23	23	154
24	24	152
25	25	151
26	26	150
27	27	148
28	28	147
29	29	145
30	30	144
31	30	143
32	32	144
33	33	143
34	34	142
35	35	140
36	36	139
37	37	138
38	37	137
39	38	135
40	39	135
41	40	133
42	41	132
43	42	131
44	43	130
45	44	129
46	45	128
47	46	126
48	47	125
49	47	124
50	48	123
51	49	122
52	50	121
53	51	120
54	52	119
55	53	118
56	54	117
57	55	116
58	56	114
59	57	114
60	57	113
61	58	112
62	60	111
63	60	110
64	61	109
65	62	108
66	63	107
67	64	106
68	65	105
69	66	104
70	67	103
71	68	102
72	69	101
73	70	101
74	71	100
75	72	99
76	73	98
77	74	97
78	75	96
79	76	95
80	76	94
81	77	92
82	78	91
83	79	90
84	80	89
85	81	88
86	82	87
87	83	86
88	83	85
89	84	84
90	85	83
91	86	82
92	87	81
93	88	80
94	89	79
95	90	78
96	91	78
97	92	77
98	93	76
99	94	75
100	95	74
101	95	73
102	96	72
103	97	71
104	98	70
105	99	69
106	100	68
107	101	67
108	102	66
109	103	65
110	104	64
111	105	63
112	106	63
113	107	62
114	108	61
115	109	60
116	110	59
117	110	58
118	111	57
119	112	56
120	113	55
121	114	54
122	115	53
123	116	52
124	117	51
125	118	50
126	119	49
127	120	48
128	120	47
129	121	46
130	122	45
131	123	45
132	124	44
133	125	43
134	126	42
135	127	41
136	128	40
137	129	39
138	130	38
139	131	37
140	132	36
141	133	35
142	133	34
143	134	33
144	135	32
145	136	31
146	137	30
147	138	29
148	139	29
149	140	28
150	141	27
151	142	26
152	143	25
153	144	24
154	145	23
155	146	22
156	147	21
157	148	20
158	148	19
159	149	18
160	150	17
161	151	16
162	152	15
163	153	14
164	154	14
165	155	13
166	156	12
167	157	11
168	158	10
169	159	9
170	160	8
171	161	7
172	162	6
173	163	5
174	164	4
175	165	3
176	166	2
177	167	1
178	168	0
179	169	0
